Scenario_ID,DayofYear,Time(hr),O3 (ppb),CO (ppb),NO (ppb),NOx (ppb),CH3OH (ppb),C2H6 (ppb),ETH (ppb),TOL(ppb),XYL (ppb),ALD2 (ppb),AONE (ppb),PAR (ppb),OLET (ppb),Temperature(K),RH,BC (ug/m3),OA (ug/m3),NH4 (ug/m3),NO3 (ug/m3),SO4 (ug/m3),Chi_a,Chi_o,Chi_h
34,161,8,23.9984222,360.9356371,0.000185649,20.04126467,0.304952262,1.000889959,3.583786935,2.88596327,2.465239343,1.72975691,1.169746835,13.23953255,0.415374983,241.536,0.5503,0.023304291,0.252706497,0.638405022,1.203501826,0.013002666,0.857053444,0.895346888,0.764180755
34,161,9,25.11539987,353.0031334,0.000178995,18.57319551,0.295680656,1.000871953,3.403757556,2.739409328,2.340603872,1.697021532,1.161165316,12.64674514,0.392112934,241.536,0.5503,0.02094998,0.227376608,0.631725174,1.191796276,0.01238365,0.86295176,0.89361984,0.767489144
34,161,10,26.18160052,345.4874802,0.000172136,17.19841275,0.286876567,1.000850136,3.233221009,2.600569531,2.222549964,1.665477949,1.15295038,12.08677083,0.370117614,241.536,0.5503,0.019412233,0.21070907,0.616882233,1.163973087,0.011230856,0.873428971,0.898917996,0.782579377
34,161,11,27.20025329,338.3668103,0.000165261,15.91324938,0.278529254,1.000826126,3.071680089,2.46903445,2.110720115,1.635298745,1.14511438,11.557386,0.349328192,241.536,0.5503,0.019238905,0.20871244,0.624376823,1.176960596,0.010237564,0.880510805,0.902867825,0.792092185
34,161,12,28.17427267,331.6203887,0.000158513,14.71388517,0.270623499,1.00080105,2.918664397,2.34441761,2.004779823,1.606562536,1.137658574,11.05665109,0.329686496,241.536,0.5503,0.017686791,0.191908473,0.619281165,1.165348472,0.009024576,0.89071902,0.906848843,0.805017611
34,161,13,29.10628492,325.2285588,0.000151991,13.59639497,0.263141389,1.000775674,2.77372852,2.226353837,1.904415073,1.579285043,1.13057658,10.58284615,0.311136739,241.536,0.5503,0.016769348,0.181866331,0.59829444,1.126624477,0.008109516,0.897692051,0.911778327,0.816254688
34,161,14,29.99865506,319.1726896,0.000145754,12.5567924,0.256063647,1.000750503,2.63645042,2.114497802,1.809330266,1.553442758,1.123857147,10.13442152,0.293625324,241.536,0.5503,0.015619136,0.169385567,0.592504972,1.114974168,0.00723881,0.904081379,0.913551158,0.822849792
34,161,15,30.85351402,313.4351252,0.000139834,11.59106966,0.249370547,1.00072585,2.506430007,2.008522734,1.719246539,1.528989496,1.11748621,9.709961149,0.277100705,241.536,0.5503,0.014183777,0.153869699,0.579061818,1.090910327,0.006729397,0.910689976,0.91595707,0.831258988
34,161,16,31.67278521,307.9991352,0.000134243,10.6952334,0.243042509,1.000701893,2.383287889,1.908119286,1.63390041,1.505867217,1.111448306,9.308156168,0.261513307,241.536,0.5503,0.011992126,0.130246981,0.559587707,1.054385331,0.006134786,0.917308359,0.915681217,0.836510886
34,161,17,32.45820985,302.8488673,0.000128981,9.865336214,0.237060451,1.000678717,2.266664228,1.812994512,1.553042661,1.484012696,1.105727503,8.927786287,0.24681547,241.536,0.5503,0.010767869,0.117040279,0.566020904,1.065786925,0.005526674,0.923223237,0.914651102,0.839113468
34,161,18,33.21137025,297.9693018,0.000124041,9.097503815,0.23140599,1.000656349,2.156217713,1.722870942,1.476437399,1.463361451,1.100307962,8.567706782,0.232961416,241.536,0.5503,0.009861426,0.107257165,0.575728015,1.083564153,0.005090746,0.928246432,0.913904757,0.841413453
34,161,19,33.9337111,293.3462084,0.00011941,8.38795772,0.226061539,1.000634777,2.051624604,1.637485729,1.403861244,1.443849924,1.095174255,8.226839395,0.21990722,241.536,0.5503,0.008928459,0.097126011,0.562713657,1.059089192,0.004528166,0.933670238,0.91578724,0.847279771
34,161,20,34.6265582,288.9661048,0.000115076,7.733033735,0.221010344,1.000613972,1.952577837,1.556589862,1.335102608,1.425416613,1.090311534,7.9041658,0.207610782,241.536,0.5503,0.007741923,0.084282746,0.54390136,1.023988411,0.004033046,0.939351194,0.916763009,0.852654381
34,161,21,35.29113506,284.8162176,0.000111024,7.129196513,0.216236478,1.000593892,1.858786182,1.479947421,1.269961039,1.408002594,1.085705609,7.598722694,0.196031803,241.536,0.5503,0.006486718,0.070707574,0.515657999,0.973002596,0.003795952,0.944282669,0.917270994,0.857662964
34,161,22,35.9285772,280.8844449,0.000107239,6.573050554,0.211724825,1.000574492,1.76997345,1.40733489,1.208246615,1.391551701,1.081342975,7.309597922,0.185131748,241.536,0.5503,0.005636057,0.061449691,0.492002405,0.927749236,0.003189162,0.949735322,0.9193953,0.863632825
34,161,23,36.53994452,277.159321,0.000103708,6.061348068,0.207461042,1.000555728,1.685877736,1.338540495,1.149779386,1.376010514,1.077210803,7.035927242,0.174873812,241.536,0.5503,0.005226998,0.056982315,0.48711801,0.918708163,0.002874735,0.952256416,0.91835533,0.863314345
