Scenario_ID,DayofYear,Time(hr),O3 (ppb),CO (ppb),NO (ppb),NOx (ppb),CH3OH (ppb),C2H6 (ppb),ETH (ppb),TOL(ppb),XYL (ppb),ALD2 (ppb),AONE (ppb),PAR (ppb),OLET (ppb),Temperature(K),RH,BC (ug/m3),OA (ug/m3),NH4 (ug/m3),NO3 (ug/m3),SO4 (ug/m3),Chi
595,138,13.0,146.6971279406197,761.3868461533793,0.0816732978263461,2.064577935678477,0.9584813902668494,0.974312491851965,0.9311542246272444,0.2107120563491046,0.0865147791577633,4.267790312328871,12.090471356918895,140.2534452649963,0.0143523099449365,295.968,0.8719999999999999,0.7445192074509085,3.278634765800231,1.4729025191215597,1.3119955366751546,2.731511983959154,0.9429038543131684
595,138,14.0,141.78606929156874,732.4179761589116,0.0002128971722047,2.0559553271788267,0.9232301402918146,0.975495558531638,0.867916408318957,0.2037781452384227,0.0853722219073784,4.081456035635421,11.556057567097737,132.7384428371182,0.0128198254604916,295.968,0.8719999999999999,0.7098351613339113,3.128838375577096,1.3992145108649494,1.1872868994426735,2.635319638638963,0.9387798626793814
595,138,15.0,136.21098651303498,704.9445995863547,1.4251348902260266e-05,1.5825591501694434,0.9068276416537436,0.9767709802990848,0.8144371683155591,0.1980033451817405,0.0855904117589647,3.906846422283222,11.01905748888635,125.88673505005517,0.0113371211189455,295.968,0.8719999999999999,0.6731466430678419,2.9406718925103728,1.3203742728546342,1.1018076739458118,2.49932267359861,0.9378447156427436
595,138,16.0,131.03270595786375,678.9118446723699,1.4993601340165095e-05,1.440723289151411,0.8872596992456616,0.9779476240720116,0.7648642100888362,0.1924218373009952,0.0855871883590652,3.7084899186101294,10.516532515000328,119.32277696325058,0.0099358053693178,295.968,0.8719999999999999,0.6352941720433363,2.762914262560219,1.243711127199699,1.005217141198381,2.380124308815423,0.9365641995697064
595,138,17.0,126.19397292909213,654.2506802463535,1.4238731741836906e-05,1.3592447375301049,0.8656514251027922,0.9790603317880168,0.7195534657329764,0.1871634462036737,0.085616469618495,3.521024473089549,10.038521803059778,113.10631336646009,0.0088703729229302,295.968,0.8719999999999999,0.6062931282493501,2.607671596510631,1.1696777125325872,0.9137007602740164,2.264229009380013,0.93470405333705
595,138,18.0,121.6592047851656,630.8874852506701,1.338283243858875e-05,1.294368475969647,0.8442404832435709,0.980116016577638,0.678101797535176,0.1822123108439302,0.0856814001581809,3.349038353476168,9.5833373363981,107.22626906842092,0.0081000706009666,295.968,0.8719999999999999,0.5846539143529101,2.4815393658237093,1.1056813057566346,0.8349918379716248,2.165880673676771,0.9324463028644852
595,138,19.0,117.40450093512342,608.7535515710952,1.2614014068234916e-05,1.2382522336951742,0.8232799516620756,0.981117689116408,0.6401260400635594,0.177548165992174,0.0857751999723809,3.191446574281722,9.150052390495372,101.6640514509749,0.0075505249055224,295.968,0.8719999999999999,0.553987995653859,2.32809167777375,1.0331979186157656,0.7527518637704498,2.047657916566874,0.930740005992199
595,138,20.0,113.40971837784936,587.7840478844169,1.1943263565942645e-05,1.1883620288210257,0.8027810588334717,0.9820679520548488,0.605289029452917,0.1731525341739153,0.0858923234098184,3.0467726842103704,8.737783099958216,96.401818655476,0.0071639471031665,295.968,0.8719999999999999,0.5245424831095584,2.1971981439524315,0.9777987066216312,0.6869252239084503,1.960310719193762,0.9296704429814656
595,138,21.0,109.6569594188348,567.9176323795066,1.1358066201378084e-05,1.1432990881473033,0.7827206478575611,0.9829693173777104,0.5732936066769969,0.1690086619649568,0.0860285739708948,2.913686155384109,8.345644126894458,91.422855224876,0.0068984698365875,295.968,0.8719999999999999,0.50683129658788,2.1106838418671336,0.940835749256306,0.638313371446274,1.908001682775558,0.9271741668902204
595,138,22.0,106.1300264706377,549.0962185483895,1.084406388287036e-05,1.1021291908468247,0.763081011773815,0.9838242229625476,0.5438763014505895,0.1651011705491149,0.0861806338285413,2.7910393997922465,7.972758324095919,86.71148652433655,0.0067238283214776,295.968,0.8719999999999999,0.464870205968913,1.9475537290333995,0.8797806933938441,0.5777734942869462,1.8047042732639689,0.9259935168173664
